id,names,terminals,description,switch,num_terminals,is_switched
ConnectivityNode{389551-cn},[],"[Terminal{642529-389551}, Terminal{299645-389551}, Terminal{642530-389551}]",,None,3,FALSE
ConnectivityNode{93754-cn},[],"[Terminal{178560-93754}, Terminal{272715-93754}, Terminal{178559-93754}]",,None,3,FALSE
ConnectivityNode{39185-cn},[],"[Terminal{254986-39185}, Terminal{19070-39185}]",,Disconnector{254986},2,TRUE
ConnectivityNode{619834-cn},[],"[Terminal{17339084-619834}, Terminal{570464-619834}]",,None,2,FALSE
ConnectivityNode{726654-cn},[],"[Terminal{30753248-726654}, Terminal{733109-726654}, Terminal{733110-726654}]",,Disconnector{733109},3,TRUE
ConnectivityNode{474701-cn},[],"[Terminal{414395-474701}, Terminal{20164407-474701}, Terminal{404511-474701}]",,None,3,FALSE
ConnectivityNode{605107-cn},[],"[Terminal{553156-605107}, Terminal{17341053-605107}]",,None,2,FALSE
ConnectivityNode{496131-cn},[],"[Terminal{18551700-496131}, Terminal{103544-496131}, Terminal{96872-496131}]",,None,3,FALSE
ConnectivityNode{578483-cn},[],"[Terminal{711650-578483}, Terminal{524068-578483}, Terminal{14404067-578483}]",,None,3,FALSE
ConnectivityNode{250565-cn},[],"[Terminal{666712-250565}, Terminal{685938-250565}, Terminal{551480-250565}, Terminal{579642-250565}, Terminal{544951-250565}, Terminal{181503-250565}, Terminal{29227404-250565}, Terminal{580110-250565}, Terminal{685937-250565}]",,None,9,FALSE
ConnectivityNode{725713-cn},[],[Terminal{714342-725713}],,Fuse{714342},1,TRUE
ConnectivityNode{224706-cn},[],"[Terminal{529165-224706}, Terminal{18003569-224706}]",,None,2,FALSE
ConnectivityNode{259777-cn},[],"[Terminal{602484-259777}, Terminal{163796-259777}, Terminal{38432976-259777}]",,None,3,FALSE
ConnectivityNode{389557-cn},[],"[Terminal{17348118-389557}, Terminal{299649-389557}]",,None,2,FALSE
ConnectivityNode{441457-cn},[],"[Terminal{355460-441457}, Terminal{721884-441457}]",,Disconnector{721884},2,TRUE
ConnectivityNode{97995-cn},[],"[Terminal{56377-97995}, Terminal{15784799-97995}]",,None,2,FALSE
ConnectivityNode{317177-cn},[],"[Terminal{712916-317177}, Terminal{211976-317177}]",,Fuse{712916},2,TRUE
ConnectivityNode{28972-cn},[],"[Terminal{13766-28972}, Terminal{230303-28972}, Terminal{20131938-28972}, Terminal{11157837-28972}]",,None,4,FALSE
ConnectivityNode{290568-cn},[],"[Terminal{17339264-290568}, Terminal{188056-290568}]",,None,2,FALSE
