id,names,terminals,description,switch,num_terminals,is_switched
ConnectivityNode{599570-cn},[],"[Terminal{547264-599570}, Terminal{17338658-599570}]",,None,2,False
ConnectivityNode{284190-cn},[],"[Terminal{661456-284190}, Terminal{661457-284190}, Terminal{487644-284190}]",,None,3,False
ConnectivityNode{303515-cn},[],"[Terminal{519190-303515}, Terminal{14404087-303515}, Terminal{198400-303515}]",,None,3,False
ConnectivityNode{287021-cn},[],"[Terminal{18007587-287021}, Terminal{185315-287021}]",,None,2,False
ConnectivityNode{629610-cn},[],"[Terminal{579645-629610}, Terminal{17338934-629610}]",,None,2,False
ConnectivityNode{233299-cn},[],"[Terminal{14404052-233299}, Terminal{545994-233299}, Terminal{550218-233299}, Terminal{545993-233299}]",,None,4,False
ConnectivityNode{598178-cn},[],"[Terminal{145024-598178}, Terminal{17356055-598178}, Terminal{708407-598178}]",,None,3,False
ConnectivityNode{260155-cn},[],"[Terminal{603429-260155}, Terminal{18009560-260155}]",,None,2,False
ConnectivityNode{679552-cn},[],"[Terminal{18007143-679552}, Terminal{656563-679552}]",,None,2,False
ConnectivityNode{309330-cn},[],"[Terminal{20552937-309330}, Terminal{220196-309330}, Terminal{220195-309330}, Terminal{204794-309330}]",,Fuse{204794},4,True
ConnectivityNode{400887-cn},[],"[Terminal{370885-400887}, Terminal{38084062-400887}, Terminal{66656-400887}]",,None,3,False
ConnectivityNode{46642-cn},[],"[Terminal{22948-46642}, Terminal{733982-46642}]",,Fuse{733982},2,True
ConnectivityNode{583367-cn},[],"[Terminal{18390278-583367}, Terminal{529163-583367}]",,None,2,False
ConnectivityNode{389843-cn},[],"[Terminal{67365-389843}, Terminal{19076446-389843}, Terminal{299930-389843}, Terminal{67366-389843}]",,None,4,False
ConnectivityNode{679556-cn},[],"[Terminal{18004609-679556}, Terminal{656567-679556}]",,None,2,False
ConnectivityNode{723790-cn},[],"[Terminal{709854-723790}, Terminal{18003509-723790}]",,None,2,False
ConnectivityNode{259661-cn},[],"[Terminal{17350336-259661}, Terminal{602171-259661}]",,None,2,False
ConnectivityNode{533452-cn},[],"[Terminal{18281134-533452}, Terminal{472033-533452}]",,None,2,False
ConnectivityNode{309490-cn},[],"[Terminal{220630-309490}, Terminal{21009642-309490}, Terminal{729725-309490}]",,Disconnector{729725},3,True
ConnectivityNode{41823-cn},[],"[Terminal{48137-41823}, Terminal{20441-41823}]",,Disconnector{48137},2,True
ConnectivityNode{602235-cn},[],"[Terminal{685935-602235}, Terminal{156372-602235}, Terminal{146369-602235}, Terminal{29227371-602235}]",,None,4,False
ConnectivityNode{460405-cn},[],"[Terminal{90218-460405}, Terminal{540748-460405}, Terminal{727746-460405}, Terminal{14527772-460405}]",,Disconnector{727746},4,True
ConnectivityNode{592555-cn},[],"[Terminal{14422520-592555}, Terminal{176912-592555}, Terminal{176911-592555}, Terminal{143013-592555}]",,None,4,False
ConnectivityNode{327403-cn},[],"[Terminal{223644-327403}, Terminal{223645-327403}, Terminal{206159-327403}]",,Disconnector{206159},3,True
ConnectivityNode{81109-cn},[],"[Terminal{254910-81109}, Terminal{243138-81109}]",,Disconnector{254910},2,True
ConnectivityNode{707649-cn},[],"[Terminal{18003563-707649}, Terminal{192522-707649}]",,None,2,False
ConnectivityNode{250477-cn},[],"[Terminal{579478-250477}, Terminal{18002681-250477}]",,None,2,False
ConnectivityNode{380616-cn},[],"[Terminal{291245-380616}, Terminal{18205548-380616}]",,None,2,False
ConnectivityNode{306263-cn},[],"[Terminal{720356-306263}, Terminal{35361-306263}, Terminal{35360-306263}]",,Fuse{720356},3,True
ConnectivityNode{276890-cn},[],"[Terminal{301866-276890}, Terminal{642532-276890}, Terminal{642531-276890}]",,None,3,False
ConnectivityNode{23860-cn},[],"[Terminal{96113-23860}, Terminal{11106-23860}, Terminal{283134-23860}]",,None,3,False
ConnectivityNode{703958-cn},[],"[Terminal{18011037-703958}, Terminal{686466-703958}]",,None,2,False
ConnectivityNode{226316-cn},[],"[Terminal{579449-226316}, Terminal{37096372-226316}, Terminal{140554-226316}, Terminal{670407-226316}, Terminal{143929-226316}, Terminal{185912-226316}]",,None,6,False
ConnectivityNode{422981-cn},[],"[Terminal{335222-422981}, Terminal{540013-422981}, Terminal{727699-422981}, Terminal{540012-422981}, Terminal{156561-422981}, Terminal{176650-422981}]",,Disconnector{727699},6,True
ConnectivityNode{342062-cn},[],"[Terminal{252560-342062}, Terminal{241755-342062}]",,Disconnector{252560},2,True
ConnectivityNode{619255-cn},[],"[Terminal{569907-619255}, Terminal{17338916-619255}]",,None,2,False
ConnectivityNode{708563-cn},[],"[Terminal{18003911-708563}, Terminal{192881-708563}]",,None,2,False
ConnectivityNode{437846-cn},[],"[Terminal{351434-437846}, Terminal{18674400-437846}]",,None,2,False
ConnectivityNode{306260-cn},[],"[Terminal{219480-306260}, Terminal{219479-306260}, Terminal{720354-306260}]",,Disconnector{720354},3,True
ConnectivityNode{668873-cn},[],"[Terminal{656563-668873}, Terminal{636614-668873}, Terminal{636613-668873}]",,None,3,False
ConnectivityNode{16997-cn},[],"[Terminal{33526945-16997}, Terminal{33527114-16997}, Terminal{734847-16997}]",,Disconnector{734847},3,True
ConnectivityNode{597900-cn},[],"[Terminal{545461-597900}, Terminal{18284293-597900}]",,None,2,False
ConnectivityNode{317926-cn},[],"[Terminal{10440700-317926}, Terminal{713606-317926}, Terminal{212775-317926}]",,Fuse{713606},3,True
ConnectivityNode{233526-cn},[],"[Terminal{18007911-233526}, Terminal{546437-233526}]",,None,2,False
ConnectivityNode{62065-cn},[],"[Terminal{21057730-62065}, Terminal{255325-62065}]",,Fuse{255325},2,True
ConnectivityNode{492684-cn},[],"[Terminal{425190-492684}, Terminal{730824-492684}]",,Disconnector{730824},2,True
ConnectivityNode{307500-cn},[],"[Terminal{684977-307500}, Terminal{583234-307500}, Terminal{723584-307500}]",,Disconnector{723584},3,True
ConnectivityNode{302574-cn},[],"[Terminal{707005-302574}, Terminal{17337447-302574}]",,None,2,False
ConnectivityNode{46719-cn},[],"[Terminal{22986-46719}, Terminal{370837-46719}]",,None,2,False
ConnectivityNode{232650-cn},[],"[Terminal{684980-232650}, Terminal{15725446-232650}, Terminal{603398-232650}, Terminal{144691-232650}, Terminal{684981-232650}, Terminal{15795417-232650}]",,None,6,False
ConnectivityNode{325508-cn},[],"[Terminal{221602-325508}, Terminal{221603-325508}, Terminal{205342-325508}]",,Fuse{205342},3,True
ConnectivityNode{224287-cn},[],"[Terminal{17340622-224287}, Terminal{528485-224287}]",,None,2,False
ConnectivityNode{593934-cn},[],"[Terminal{540989-593934}, Terminal{143510-593934}, Terminal{571325-593934}]",,None,3,False
