mrid,conducting_equipment,connect,connected_terminals,current_feeder_direction,name,phases,sequence_number,traced_phases,connected,base_voltage,connectivity_node,connectivity_node_id,current_phases.terminal,names,normal_phases.terminal
532501-86416,AcLineSegment{532501},True,[Terminal{17337699-86416}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{86416-cn},86416-cn,Terminal{532501-86416},<generator object ngen at 0x0000015E8FE996C0>,Terminal{532501-86416}
302161-3183,AcLineSegment{302161},True,"[Terminal{10048-3183}, Terminal{399365-3183}]",FeederDirection.BOTH,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{3183-cn},3183-cn,Terminal{302161-3183},<generator object ngen at 0x0000015E8FE996C0>,Terminal{302161-3183}
219470-115865,BusbarSection{219470},True,"[Terminal{720409-115865}, Terminal{219469-115865}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{115865-cn},115865-cn,Terminal{219470-115865},<generator object ngen at 0x0000015E8FE996C0>,Terminal{219470-115865}
18009320-705596,EnergyConsumer{18009320},True,[Terminal{649776-705596}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{705596-cn},705596-cn,Terminal{18009320-705596},<generator object ngen at 0x0000015E8FE996C0>,Terminal{18009320-705596}
213745-113184,BusbarSection{213745},True,"[Terminal{714402-113184}, Terminal{213746-113184}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{113184-cn},113184-cn,Terminal{213745-113184},<generator object ngen at 0x0000015E8FE996C0>,Terminal{213745-113184}
208056-757430,Fuse{208056},True,[],FeederDirection.NONE,,PhaseCode.ABC,2,"TracedPhases(normal={NONE, NONE, NONE, NONE}, current={NONE, NONE, NONE, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{757430-cn},757430-cn,Terminal{208056-757430},<generator object ngen at 0x0000015E8FE996C0>,Terminal{208056-757430}
225034-118706,BusbarSection{225034},True,"[Terminal{33687053-118706}, Terminal{225379-118706}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{118706-cn},118706-cn,Terminal{225034-118706},<generator object ngen at 0x0000015E8FE996C0>,Terminal{225034-118706}
211956-358342,BusbarSection{211956},True,[Terminal{712976-358342}],FeederDirection.BOTH,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{358342-cn},358342-cn,Terminal{211956-358342},<generator object ngen at 0x0000015E8FE996C0>,Terminal{211956-358342}
144664-274965,AcLineSegment{144664},True,"[Terminal{15725446-274965}, Terminal{15795417-274965}, Terminal{685041-274965}, Terminal{603454-274965}, Terminal{685040-274965}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{274965-cn},274965-cn,Terminal{144664-274965},<generator object ngen at 0x0000015E8FE996C0>,Terminal{144664-274965}
213831-113227,BusbarSection{213831},True,[Terminal{714468-113227}],FeederDirection.BOTH,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{113227-cn},113227-cn,Terminal{213831-113227},<generator object ngen at 0x0000015E8FE996C0>,Terminal{213831-113227}
660097-674786,AcLineSegment{660097},True,"[Terminal{660098-674786}, Terminal{191691-674786}, Terminal{191692-674786}, Terminal{163667-674786}, Terminal{15709764-674786}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{674786-cn},674786-cn,Terminal{660097-674786},<generator object ngen at 0x0000015E8FE996C0>,Terminal{660097-674786}
